Bear ID,Time,Period,Treatment,PropDev,DistDev
F04 ,Post,day  ,AC     ,0.490851223,0
F13 ,Post,day  ,AC     ,0.493237853,5
M17 ,Post,day  ,AC     ,0.493237853,0
F13 ,Pre,day  ,AC     ,0.497215569,0
M17 ,Pre,day  ,AC     ,0.501988858,0
M28 ,Pre,day  ,AC     ,0.501988858,0
M28 ,Pre,day  ,AC     ,0.501988858,0
F13 ,Post,day  ,AC     ,0.511535406,31.62277603
F04 ,Post,day  ,AC     ,0.514717579,0
F04 ,Post,day  ,AC     ,0.514717579,0
F04 ,Post,day  ,AC     ,0.514717579,0
F12 ,Pre,day  ,control,0.521081954,0
F12 ,Pre,day  ,control,0.529037386,15
F12 ,Pre,night,control,0.531424016,0
F13 ,Post,day  ,AC     ,0.548926026,0
M17 ,Pre,day  ,AC     ,0.555290371,0
F13 ,Post,day  ,AC     ,0.556085914,0
M21 ,Pre,day  ,control,0.556881458,5
M17 ,Pre,day  ,AC     ,0.558472544,5
M17 ,Pre,day  ,AC     ,0.558472544,5
M17 ,Pre,day  ,AC     ,0.558472544,5
M17 ,Post,day  ,AC     ,0.558472544,10
F04 ,Pre,day  ,AC     ,0.559268087,0
F10 ,Post,night,control,0.56006363,18.02775574
M17 ,Post,day  ,AC     ,0.561654747,0
F13 ,Pre,day  ,AC     ,0.564041376,15.81138802
M28 ,Pre,day  ,AC     ,0.564041376,15.81138802
M17 ,Pre,day  ,AC     ,0.566428006,0
F05 ,Post,night,control,0.574383467,0
F05 ,Post,night,control,0.583929986,10
F05 ,Post,night,control,0.587907732,0
M17 ,Post,day  ,AC     ,0.590294361,0
F10 ,Pre,day  ,control,0.592680991,0
F10 ,Post,day  ,control,0.592680991,0
F10 ,Post,day  ,control,0.592680991,0
F10 ,Post,day  ,control,0.592680991,0
F10 ,Post,day  ,control,0.592680991,0
F10 ,Post,day  ,control,0.592680991,0
M17 ,Pre,day  ,AC     ,0.595863163,5
F12 ,Pre,day  ,control,0.603023082,0
M17 ,Pre,day  ,AC     ,0.616547346,0
F12 ,Post,day  ,control,0.618138433,0
